baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-mek,baseOrder,grp-ref-t,dam-lev,jac,id
ref-t.2.7.4.4.31-ref-t.2.7.4.4.43,ref-mek.9.1.4.194-ref-mek.9.1.4.209,443585,443652,ref-t.2.7.4.4.31,ref-t.2.7.4.4.43,383447,383527,ref-mek.9.1.4.194,ref-mek.9.1.4.209,האורג חוט אחד בין בבגדי קודש בין בבגדי הדיוט והכותב אות אחת בין ,שכתב אות אחת שחרית ואות אחת בין הערבים או שארג חוט אחד בשחרית וחוט אחד בין ,13,16,644,644.0,163,163.0,0.64,0.75,2030000116
ref-t.2.8.1.11.14-ref-t.2.8.1.11.24,ref-mek.1.15.6.29-ref-mek.1.15.6.40,448839,448894,ref-t.2.8.1.11.14,ref-t.2.8.1.11.24,56468,56526,ref-mek.1.15.6.29,ref-mek.1.15.6.40,ואו' תקעו בחדש שופר וגו' ואו' כי חק לישראל הוא וגו' ,שנאמר תקעו בחדש שופר וגו' מפני מה כי חק לישראל הוא וגו' ,11,12,64,64.0,164,164.0,0.19642857142857142,0.33333333333333337,2030000117
ref-t.2.8.2.13.129-ref-t.2.8.2.13.141,ref-mek.4.1.4.392-ref-mek.4.1.4.400,456204,456270,ref-t.2.8.2.13.129,ref-t.2.8.2.13.141,182127,182171,ref-mek.4.1.4.392,ref-mek.4.1.4.400,אומרן שאו שערים ראשיכם וגו' מי זה מלך הכבוד וגו' שאו שערים ראשיכם ,שנאמר נשא אויל מרודך וגו' ואומר נשא את ראש ,13,9,265,265.0,165,165.0,0.6666666666666666,0.8571428571428572,2030000118
ref-t.2.9.1.12.16-ref-t.2.9.1.12.22,ref-mek.1.17.2.327-ref-mek.1.17.2.343,461465,461501,ref-t.2.9.1.12.16,ref-t.2.9.1.12.22,67096,67186,ref-mek.1.17.2.327,ref-mek.1.17.2.343,הן עונין אחריו ברוך ה' המבורך לעולם וכשהוא קורא בשמו יהו עונין אחריו ברוך שם כבוד מלכותו,הן עונין אחריו ברוך ה' המבורך לעולם וכשהוא קורא בשמו יהו עונין אחריו ברוך שם כבוד מלכותו,7,17,95,95.0,166,166.0,0.0,0.0,2030000119
ref-t.2.9.1.12.66-ref-t.2.9.1.12.72,ref-mek.1.17.2.327-ref-mek.1.17.2.343,461741,461777,ref-t.2.9.1.12.66,ref-t.2.9.1.12.72,67096,67186,ref-mek.1.17.2.327,ref-mek.1.17.2.343,הן עונין אחריו ברוך ה' המבורך לעולם וכשהוא קורא בשמו יהו עונין אחריו ברוך שם כבוד מלכותו,הן עונין אחריו ברוך ה' המבורך לעולם וכשהוא קורא בשמו יהו עונין אחריו ברוך שם כבוד מלכותו,7,17,96,96.0,168,168.0,0.0,0.0,2030000120
ref-t.2.9.2.13.46-ref-t.2.9.2.13.76,ref-mek.5.3.1.77-ref-mek.5.3.1.110,467128,467265,ref-t.2.9.2.13.46,ref-t.2.9.2.13.76,218177,218325,ref-mek.5.3.1.77,ref-mek.5.3.1.110,שאינו מביא מבול לעולם שנאמר כי מי נח זאת לי אשר נשבעתי מעבור מי נח עוד על הארץ אמרו לו שמא מבול של מים אינו מביא מבול של אש מביא אמר להם לא מבול,שאינו מביא מבול לעולם שנאמר כי מי נח זאת לי אשר נשבעתי מעבור מי נח עוד על הארץ אמרו לו שמא מבול של מים אינו מביא מבול של אש מביא אמר להם לא מבול,31,29,309,309.0,170,170.0,0.0,0.0,2030000121
ref-t.2.9.3.2.47-ref-t.2.9.3.2.56,ref-mek.1.6.1.695-ref-mek.1.6.1.705,468639,468684,ref-t.2.9.3.2.47,ref-t.2.9.3.2.56,18698,18748,ref-mek.1.6.1.695,ref-mek.1.6.1.705,צו את בני ישראל ואמרת אליהם את קרבני לחמי אי ,צו את בני ישראל ואמרת אליהם את קרבני לחמי וגו' אם ,10,11,33,33.0,172,172.0,0.12,0.19999999999999996,2030000122
ref-t.2.9.3.4.29-ref-t.2.9.3.4.43,ref-mek.1.10.1.156-ref-mek.1.10.1.170,469119,469187,ref-t.2.9.3.4.29,ref-t.2.9.3.4.43,33824,33901,ref-mek.1.10.1.156,ref-mek.1.10.1.170,שיש בו קרבן מוסף קורין בו מוסף וכל שאין בו מוסף אין קורין בו מוסף ,שאין בהן קרבן מוסף לכך מותרין במלאכה תאמר בחולו של מועד שיש בו קרבן מוסף ,15,15,40,40.0,173,173.0,0.5068493150684932,0.7142857142857143,2030000123
ref-t.2.9.3.10.51-ref-t.2.9.3.10.59,ref-mek.1.6.1.866-ref-mek.1.6.1.874,471533,471570,ref-t.2.9.3.10.51,ref-t.2.9.3.10.59,19598,19635,ref-mek.1.6.1.866,ref-mek.1.6.1.874,אוי לנו כי פנה היום כי ינטו צללי ערב ,אוי לנו כי פנה היום כי ינטו צללי ערב ,9,9,34,34.0,174,174.0,0.0,0.0,2030000124
ref-t.2.10.2.6.4-ref-t.2.10.2.6.16,ref-mek.1.7.3.133-ref-mek.1.7.3.143,477345,477421,ref-t.2.10.2.6.4,ref-t.2.10.2.6.16,21939,21990,ref-mek.1.7.3.133,ref-mek.1.7.3.143,יוצאין ידי חובתן בפסח כך אם אין להם פסח יוצאין ידי חובתן בפסח כך אם אין להם פסח יוצאין ידי,יוצאין ידי חובתן בפסח כך אם אין להם פסח יוצאין ידי חובתן בפסח כך אם אין להם פסח יוצאין ידי,10,11,36,36.0,175,175.0,0.0,0.0,2030000125
ref-t.2.10.2.15.4-ref-t.2.10.2.15.12,ref-mek.8.1.1.124-ref-mek.8.1.1.135,479111,479163,ref-t.2.10.2.15.4,ref-t.2.10.2.15.12,357174,357239,ref-mek.8.1.1.124,ref-mek.8.1.1.135,בעירו נותנה לעניי עירו בעיר אחרת נותנה לעניי עיר ,עירך ענייך קודמין לעניי עירך עניי עירך ועניי עיר אחרת עניי עירך ,9,12,584,581.0,177,177.0,0.515625,0.5714285714285714,2030000126
ref-t.2.10.2.15.17-ref-t.2.10.2.15.26,ref-mek.8.1.1.124-ref-mek.8.1.1.135,479190,479248,ref-t.2.10.2.15.17,ref-t.2.10.2.15.26,357174,357239,ref-mek.8.1.1.124,ref-mek.8.1.1.135,בעירן נותנה לעניי עירן בעיר אחרת נותנין אותה לעניי עיר ,עירך ענייך קודמין לעניי עירך עניי עירך ועניי עיר אחרת עניי עירך ,10,12,585,581.0,178,178.0,0.484375,0.6666666666666667,2030000127
ref-t.2.11.2.12.9-ref-t.2.11.2.12.25,ref-mek.3.7.1.293-ref-mek.3.7.1.302,492604,492693,ref-t.2.11.2.12.9,ref-t.2.11.2.12.25,163346,163403,ref-mek.3.7.1.293,ref-mek.3.7.1.302,לו ואין צריך לומר שאין נוטלו הימנו של בעלי בתים נוטלו הימנו ואין צריך לומ' שמחזירו לו ,ניטול ממונם ולא נהרגם ואחת אומרת נהרגם ולא ניטול ממונם ,17,10,252,252.0,179,179.0,0.7441860465116279,0.9333333333333333,2030000128
ref-t.2.12.1.6.34-ref-t.2.12.1.6.40,ref-mek.1.2.1.180-ref-mek.1.2.1.185,496236,496278,ref-t.2.12.1.6.34,ref-t.2.12.1.6.40,7507,7542,ref-mek.1.2.1.180,ref-mek.1.2.1.185,בחג המצות בא בחג השבועות ובחג הסוכות ,חג המצות וחג השבועות וחג הסכות ,7,6,9,9.0,181,180.0,0.1891891891891892,0.19999999999999996,2030000129
ref-t.2.12.1.6.30-ref-t.2.12.1.6.40,ref-mek.8.4.2.21-ref-mek.8.4.2.29,496214,496278,ref-t.2.12.1.6.30,ref-t.2.12.1.6.40,373351,373406,ref-mek.8.4.2.21,ref-mek.8.4.2.29,ובחג השבועות ובחג הסוכות או בחג המצות ובחג השבועות ובחג הסוכות,בחג המצות ובחג השבועות ובחג הסוכות או בחג המצות,9,6,639,639.0,180,180.0,0.43548387096774194,0.0,2030000130
ref-t.3.1.1.6.1-ref-t.3.1.1.6.7,ref-mek.6.7.1.27-ref-mek.6.7.1.35,509276,509313,ref-t.3.1.1.6.1,ref-t.3.1.1.6.7,261671,261712,ref-mek.6.7.1.27,ref-mek.6.7.1.35,כשם שפוטרות מן הנשואין כך פוטרות מן ,כשם שהיא פטורה מן הקרבן כך תהא פטורה מן ,7,9,340,340.0,183,183.0,0.475,0.5555555555555556,2030000131
ref-t.3.1.1.7.9-ref-t.3.1.1.8.2,ref-mek.2.4.1.619-ref-mek.2.4.1.636,509516,509598,ref-t.3.1.1.7.9,ref-t.3.1.1.8.2,112078,112172,ref-mek.2.4.1.619,ref-mek.2.4.1.636,"ועבר בים צרה ואין צרה אלא ע""ז שנאמר והמסכה צרה כהתכנס ואומר ואשה אל אחותה לא תקח לצרור","ועבר בים צרה ואין צרה אלא ע""ז שנאמר והמסכה צרה כהתכנס ואומר ואשה אל אחותה לא תקח לצרור",11,18,180,179.0,184,184.0,0.0,0.0,2030000132
ref-t.3.1.3.1.6-ref-t.3.1.3.1.20,ref-mek.7.5.1.28-ref-mek.7.5.1.40,513860,513930,ref-t.3.1.3.1.6,ref-t.3.1.3.1.20,303396,303458,ref-mek.7.5.1.28,ref-mek.7.5.1.40,ואם אביו אשת אבי אביו ואשת אבי אמו אשת אחי אמו מאביו ואשת אחי אביו ,אביו ואמו אין לי אלא אביו ואמו אביו שלא אמו ואמו שלא אביו ,15,13,423,423.0,186,186.0,0.47761194029850745,0.6666666666666667,2030000133
ref-t.3.1.3.1.6-ref-t.3.1.3.1.21,ref-mek.7.5.3.35-ref-mek.7.5.3.47,513860,513936,ref-t.3.1.3.1.6,ref-t.3.1.3.1.21,306867,306932,ref-mek.7.5.3.35,ref-mek.7.5.3.47,ואם אביו אשת אבי אביו ואשת אבי אמו אשת אחי אמו מאביו ואשת אחי אביו מאמו ,אביו ואמו אביו שלא אמו אמו שלא אביו מנין תלמוד לומר אביו ואמו ,16,13,431,431.0,187,186.0,0.5,0.75,2030000134
ref-t.3.1.8.7.5-ref-t.3.1.8.7.24,ref-mek.8.3.2.141-ref-mek.8.3.2.149,528879,528971,ref-t.3.1.8.7.5,ref-t.3.1.8.7.24,367712,367755,ref-mek.8.3.2.141,ref-mek.8.3.2.149,השופך דמות הרי זה מבטל דמות שנ' שופך דם האדם באדם דמו ישפך ר' לעזר בן עזריה או' כל שאינו ,שופך דם האדם באדם דמו ישפך ואמר יודע אני ,20,9,611,609.0,188,188.0,0.6067415730337079,0.7857142857142857,2030000135
ref-t.3.1.9.1.66-ref-t.3.1.9.1.77,ref-mek.7.3.1.102-ref-mek.7.3.1.119,529644,529716,ref-t.3.1.9.1.66,ref-t.3.1.9.1.77,293152,293233,ref-mek.7.3.1.102,ref-mek.7.3.1.119,למכור האיש אין יכול למכור מפני שמשועבדין לאשה והאשה אינה יכולה למכור ,ימכור איש איש מוכר את בתו ואין אשה מוכרת את בתה וכי ימכור איש את בתו האיש מוכר ,12,18,408,407.0,189,189.0,0.620253164556962,0.8,2030000136
ref-t.3.1.9.2.18-ref-t.3.1.9.2.27,ref-mek.1.4.3.174-ref-mek.1.4.3.182,530293,530348,ref-t.3.1.9.2.18,ref-t.3.1.9.2.27,12821,12876,ref-mek.1.4.3.174,ref-mek.1.4.3.182,אינן אוכלין כדרך שאינה אוכלת עבדי צאן ברזל אין אוכלין ,אכלו יצאו החולה והקטן שאינן יכולין לאכול כזית שאין ,10,9,25,23.0,190,190.0,0.7037037037037037,0.9285714285714286,2030000137
ref-t.3.1.12.11.29-ref-t.3.1.12.11.54,ref-mek.1.13.1.314-ref-mek.1.13.1.332,542740,542852,ref-t.3.1.12.11.29,ref-t.3.1.12.11.54,45701,45795,ref-mek.1.13.1.314,ref-mek.1.13.1.332,והיכן דבר כי בענן אראה על הכפורת כיוצא בדבר אתה אומר והיו לי אמר ה' והיכן דבר והייתם לי,והיכן דבר כי בענן אראה על הכפורת כיוצא בדבר אתה אומר והיו לי אמר ה' והיכן דבר כי בענן אראה על הכפורת כיוצא בדבר אתה אומר והיו לי אמר ה' והיכן דבר והייתם לי,23,19,59,58.0,191,191.0,0.43870967741935485,0.0,2030000138
ref-t.3.1.12.13.19-ref-t.3.1.12.13.40,ref-mek.7.1.1.117-ref-mek.7.1.1.132,543444,543551,ref-t.3.1.12.13.19,ref-t.3.1.12.13.40,284572,284660,ref-mek.7.1.1.117,ref-mek.7.1.1.132,מעושית בבית דין של ישראל כשירה בבית דין של גוים פסולה בגוים חובטין אותו ואומ' לו עשה מה שר' פלני אומ' לך ,המעושה בישראל כשר ובגוים פסול אבל גוים חובטין אותו ואומרין לו עשה מה שישראל אומר לך ,22,16,390,390.0,193,193.0,0.3904761904761905,0.6,2030000139
ref-t.3.2.1.6.1-ref-t.3.2.1.6.7,ref-mek.1.19.7.286-ref-mek.1.19.7.298,555382,555412,ref-t.3.2.1.6.1,ref-t.3.2.1.6.7,87531,87600,ref-mek.1.19.7.286,ref-mek.1.19.7.298,היתה מעוברת אמרו לה מה טיבו של ,והיו עוברים ושבים אומרים מה טיבן של שני ארונות הללו והם אומרים להם ,7,13,147,146.0,194,194.0,0.7313432835820896,0.8333333333333334,2030000140
ref-t.3.2.2.2.89-ref-t.3.2.2.2.100,ref-mek.1.1.1.870-ref-mek.1.1.1.877,557484,557543,ref-t.3.2.2.2.89,ref-t.3.2.2.2.100,4450,4495,ref-mek.1.1.1.870,ref-mek.1.1.1.877,תצא עד אומ' נשבית וטמאה היא ועד אומ' נשבית וטהורה היא אשה ,צא ואמור אליהם והשיבני דבר שנאמר וישב משה ,12,8,5,5.0,195,195.0,0.6724137931034483,0.9285714285714286,2030000141
ref-t.3.2.5.10.10-ref-t.3.2.5.10.15,ref-mek.6.1.1.136-ref-mek.6.1.1.143,567941,567978,ref-t.3.2.5.10.10,ref-t.3.2.5.10.15,235101,235143,ref-mek.6.1.1.136,ref-mek.6.1.1.143,ראיתיה שמלקטת שעורים מתחת טלפי סוסים ,ראה ריבה אחת מלקטת שעורים מתחת גללי הסוס ,6,8,324,324.0,196,196.0,0.3170731707317073,0.7272727272727273,2030000142
ref-t.3.2.6.10.11-ref-t.3.2.6.10.26,ref-mek.4.4.1.55-ref-mek.4.4.1.67,570798,570868,ref-t.3.2.6.10.11,ref-t.3.2.6.10.26,189258,189322,ref-mek.4.4.1.55,ref-mek.4.4.1.67,נותנין להם סלע ואם אמ' אל תתנו להם אלא שקל אין נותנין להם אלא שקל אמ' ,נותנו לכם שלא תאמרו אין ספק בידו ליתנו לנו אלא הריני נותנה לכם ,16,13,284,271.0,197,197.0,0.6285714285714286,0.8571428571428572,2030000143
ref-t.3.2.9.3.175-ref-t.3.2.9.3.181,ref-mek.8.3.4.59-ref-mek.8.3.4.80,578176,578222,ref-t.3.2.9.3.175,ref-t.3.2.9.3.181,369566,369699,ref-mek.8.3.4.59,ref-mek.8.3.4.80,ערב שביעית שנכנסו לשביעית אין לי אלא פירות ערב שביעית שנכנסו לשביעית מנין לפירות שביעית שיצאו למוצאי שביעית תלמוד לומר כן תעשה,ערב שביעית שנכנסו לשביעית אין לי אלא פירות ערב שביעית שנכנסו לשביעית מנין לפירות שביעית שיצאו למוצאי שביעית תלמוד לומר כן תעשה,7,22,633,633.0,198,198.0,0.0,0.0,2030000144
ref-t.3.2.11.3.15-ref-t.3.2.11.3.21,ref-mek.7.12.1.154-ref-mek.7.12.1.182,581792,581826,ref-t.3.2.11.3.15,ref-t.3.2.11.3.21,330792,330925,ref-mek.7.12.1.154,ref-mek.7.12.1.182,שוה מנה או שוה מאתים שנגח שור שוה מאתים,שוה מנה שנגח שור שוה מנה או שוה מאתים שנגח שור שוה מאתים נוטל חציו שור שוה מאה שנגח שור שוה מאתים נוטל כלו שוה מאתים שנגח שוה מנה או שוה מאתים שנגח שור שוה מאתים,6,29,499,499.0,200,200.0,0.7577639751552795,0.375,2030000145
ref-t.3.2.11.3.15-ref-t.3.2.11.3.22,ref-mek.7.12.1.219-ref-mek.7.12.1.228,581792,581831,ref-t.3.2.11.3.15,ref-t.3.2.11.3.22,331088,331140,ref-mek.7.12.1.219,ref-mek.7.12.1.228,שוה מנה במאתים או שוה מאתים במנה מכרו ,שוה מאתים שנגח שור שוה מאתים והנבלה שוה מנה מוכרין ,8,10,507,504.0,202,200.0,0.47058823529411764,0.5555555555555556,2030000146
ref-t.3.2.12.2.60-ref-t.3.2.12.2.64,ref-mek.7.14.1.144-ref-mek.7.14.1.150,583543,583569,ref-t.3.2.12.2.60,ref-t.3.2.12.2.64,337869,337903,ref-mek.7.14.1.144,ref-mek.7.14.1.150,מיטב שדהו ומיטב כרמו ישלם ,מיטב שדהו ומיטב כרמו מיטב שדהו של ,5,7,533,533.0,203,203.0,0.29411764705882354,0.33333333333333337,2030000147
ref-t.3.3.2.7.12-ref-t.3.3.2.7.22,ref-mek.2.4.1.273-ref-mek.2.4.1.284,590703,590754,ref-t.3.3.2.7.12,ref-t.3.3.2.7.22,110299,110355,ref-mek.2.4.1.273,ref-mek.2.4.1.284,אם לא בריתי יומם ולילה חקות שמים וארץ לא שמתי אין ,אם לא בריתי יומם ולילה חוקות שמים וארץ לא שמתי אמרת אי ,11,12,178,178.0,204,204.0,0.12727272727272726,0.11111111111111116,2030000148
ref-t.3.3.6.6.3-ref-t.3.3.6.6.11,ref-mek.2.5.3.24-ref-mek.2.5.3.41,601388,601433,ref-t.3.3.6.6.3,ref-t.3.3.6.6.11,115131,115213,ref-mek.2.5.3.24,ref-mek.2.5.3.41,אישה יקימנו ואישה יפרנו את שבא לכלל הקם בא ,איש את אחיו ולא קמו איש מתחתיו שלשת ימים וכן את מוצא לעתיד לבוא קומו אורי כי בא ,9,18,181,181.0,205,205.0,0.6625,0.8235294117647058,2030000149
ref-t.3.4.1.3.60-ref-t.3.4.1.3.80,ref-mek.1.2.1.289-ref-mek.1.2.1.302,604832,604947,ref-t.3.4.1.3.60,ref-t.3.4.1.3.80,8125,8204,ref-mek.1.2.1.289,ref-mek.1.2.1.302,מונים לחמה וכשהלבנה לוקה סימן רע לשונאיהם של ישראל שהם מונים ללבנה ר' אומר,מונים לחמה וכשהלבנה לוקה סימן רע לשונאיהם של ישראל שהם מונים ללבנה ר' אומר,21,14,13,13.0,206,206.0,0.0,0.0,2030000150
ref-t.3.5.1.4.36-ref-t.3.5.1.4.39,ref-mek.1.8.1.330-ref-mek.1.8.1.333,622078,622102,ref-t.3.5.1.4.36,ref-t.3.5.1.4.39,25663,25687,ref-mek.1.8.1.330,ref-mek.1.8.1.333,וצבתה בטנה ונפלה יריכה ,וצבתה בטנה ונפלה יריכה ,4,4,39,39.0,208,208.0,0.0,0.0,2030000151
ref-t.3.5.2.9.13-ref-t.3.5.2.9.21,ref-mek.7.3.1.102-ref-mek.7.3.1.119,626239,626293,ref-t.3.5.2.9.13,ref-t.3.5.2.9.21,293152,293233,ref-mek.7.3.1.102,ref-mek.7.3.1.119,האיש נמכר ונשנה ואין האשה נמכרת ונשנית האיש נמכר ,ימכור איש איש מוכר את בתו ואין אשה מוכרת את בתה וכי ימכור איש את בתו האיש מוכר ,9,18,409,407.0,209,209.0,0.5822784810126582,0.7777777777777778,2030000152
ref-t.3.5.3.1.8-ref-t.3.5.3.1.13,ref-mek.1.19.9.116-ref-mek.1.19.9.121,626408,626438,ref-t.3.5.3.1.8,ref-t.3.5.3.1.13,90355,90385,ref-mek.1.19.9.116,ref-mek.1.19.9.121,שבמדה שאדם מודד בה מודדין לו ,שבמדה שאדם מודד בה מודדין לו ,6,6,155,155.0,212,210.0,0.0,0.0,2030000153
ref-t.3.5.2.9.22-ref-t.3.5.3.1.11,ref-mek.7.2.3.346-ref-mek.7.2.3.357,626294,626428,ref-t.3.5.2.9.22,ref-t.3.5.3.1.11,292534,292593,ref-mek.7.2.3.346,ref-mek.7.2.3.357,אמרו עבד עברי עובד את הבן ואינו עובד את הבת נרצע ועבריה,אמרו עבד עברי עובד את הבן ואינו עובד את הבת נרצע ועבריה,27,12,405,405.0,210,210.0,0.0,0.0,2030000154
ref-t.3.5.3.2.5-ref-t.3.5.3.2.9,ref-mek.1.19.9.116-ref-mek.1.19.9.121,626718,626742,ref-t.3.5.3.2.5,ref-t.3.5.3.2.9,90355,90385,ref-mek.1.19.9.116,ref-mek.1.19.9.121,שבמדה שמדדה בה מדדו לה ,שבמדה שאדם מודד בה מודדין לו ,5,6,156,155.0,213,213.0,0.3448275862068966,0.5,2030000155
ref-t.3.5.3.6.17-ref-t.3.5.3.6.27,ref-mek.3.2.1.126-ref-mek.3.2.1.144,627645,627700,ref-t.3.5.3.6.17,ref-t.3.5.3.6.27,140432,140545,ref-mek.3.2.1.126,ref-mek.3.2.1.144,שורו עבר ולא יגע' וגו' ישלחו כצאן וגו' ישאו בתף וגו' ,שורו עבר ולא יגעיל תפלט פרתו ולא תשכל ואומר ישלחו כצאן עויליהם וילדיהם ירקדון ישאו בתוף וכנור וישמחו וגו' ,11,19,216,216.0,214,214.0,0.5471698113207547,0.5789473684210527,2030000156
ref-t.3.5.3.6.31-ref-t.3.5.3.7.7,ref-mek.3.1.1.1020-ref-mek.3.1.1.1027,627718,627757,ref-t.3.5.3.6.31,ref-t.3.5.3.7.7,138671,138707,ref-mek.3.1.1.1020,ref-mek.3.1.1.1027,וגו' היא גרמה להם ויאמרו לאל סור ממנו ,ואומר אל אמונה ואין עול וגו' הא לו ,8,8,213,213.0,215,215.0,0.6578947368421053,0.5,2030000157
ref-t.3.5.3.8.9-ref-t.3.5.3.8.16,ref-mek.3.2.1.115-ref-mek.3.2.1.123,627961,627997,ref-t.3.5.3.8.9,ref-t.3.5.3.8.16,140377,140418,ref-mek.3.2.1.115,ref-mek.3.2.1.123,מתגאין לפני בה אני נפרע מכם מהו אומ' ,מתגאים לפניו בו הוא נפרע מהם שכן הוא אומר ,8,9,215,215.0,217,216.0,0.30952380952380953,0.6666666666666667,2030000158
ref-t.3.5.3.8.4-ref-t.3.5.3.8.16,ref-mek.3.2.1.182-ref-mek.3.2.1.193,627935,627997,ref-t.3.5.3.8.4,ref-t.3.5.3.8.16,140714,140775,ref-mek.3.2.1.182,ref-mek.3.2.1.193,בטובה שהטלתי לכם בה אתם מתגאין לפני בה אני נפרע מכם מהו אומ' ,בטובה שהשפעתי לכם אתם מתגאים בה לפני בה אני נפרע מכם שנאמר ,13,12,217,217.0,216,216.0,0.26229508196721313,0.36363636363636365,2030000159
ref-t.3.5.3.8.9-ref-t.3.5.3.8.16,ref-mek.3.2.1.483-ref-mek.3.2.1.488,627961,627997,ref-t.3.5.3.8.9,ref-t.3.5.3.8.16,142350,142383,ref-mek.3.2.1.483,ref-mek.3.2.1.488,מתגאין לפני בה אני נפרע מכם מהו אומ' ,שנתגאה לפניו בו נפרע ממנו שנאמר ,8,6,223,222.0,218,216.0,0.4864864864864865,0.7777777777777778,2030000160
ref-t.3.5.3.8.9-ref-t.3.5.3.8.17,ref-mek.3.2.1.711-ref-mek.3.2.1.716,627961,628003,ref-t.3.5.3.8.9,ref-t.3.5.3.8.17,143551,143584,ref-mek.3.2.1.711,ref-mek.3.2.1.716,מתגאין לפני בה אני נפרע מכם מהו אומ' ואני ,שנתגאה בו נפרע ממנו שנאמר ואתה ,9,6,231,231.0,219,216.0,0.5714285714285714,0.9,2030000161
ref-t.3.5.3.10.38-ref-t.3.5.3.10.49,ref-mek.1.12.2.315-ref-mek.1.12.2.328,628459,628516,ref-t.3.5.3.10.38,ref-t.3.5.3.10.49,42586,42668,ref-mek.1.12.2.315,ref-mek.1.12.2.328,ושתה היא גרמה להם ויאמרו הבה נבנה לנו עיר וגו' מהו אומ' ,תשת חשך ויהי לילה ואומר הכפירים שואגים לטרף ואומר תתן להם ילקוטון וגו' ואומר ,12,14,56,56.0,220,220.0,0.6623376623376623,0.8333333333333334,2030000162
ref-t.3.5.3.11.1-ref-t.3.5.3.11.23,ref-mek.3.2.1.266-ref-mek.3.2.1.288,628537,628650,ref-t.3.5.3.11.1,ref-t.3.5.3.11.23,141186,141303,ref-mek.3.2.1.266,ref-mek.3.2.1.288,אנשי סדום לא נתגאו לפני המקום אלא מתוך הטובה שהשפיע להם שנ' ארץ ממנה יצא לחם וגו' מקום ספיר אבניה וגו' נתיב לא ,באנשי סדום שבמה שנתגאו לפניו בו נפרע מהם שנאמר ארץ ממנה יצא לחם ותחתיה נהפך כמו אש מקום ספיר אבניה ועפרות זהב לו ,23,23,218,218.0,221,221.0,0.49557522123893805,0.6206896551724138,2030000163
ref-t.3.5.3.12.5-ref-t.3.5.3.12.20,ref-mek.3.2.1.310-ref-mek.3.2.1.324,628703,628808,ref-t.3.5.3.12.5,ref-t.3.5.3.12.20,141411,141502,ref-mek.3.2.1.310,ref-mek.3.2.1.324,ומזון יוצא מארצנו וכסף וזהב יוצא מארצנו ואבנים טובות ומרגליות יוצאות מארצנו אין אנו צריכין שיבאו ,אין אנו צריכין שיבא אצלנו הרי מזון יוצא מאצלנו וכסף וזהב ואבנים טובות ומרגליות יוצאות ,16,15,219,219.0,222,222.0,0.6701030927835051,0.3571428571428571,2030000164
ref-t.3.5.3.12.58-ref-t.3.5.3.12.77,ref-mek.3.2.1.381-ref-mek.3.2.1.407,628996,629098,ref-t.3.5.3.12.58,ref-t.3.5.3.12.77,141809,141952,ref-mek.3.2.1.381,ref-mek.3.2.1.407,הנה זה היה עון סדום אחותך גאון שבעת לחם ושלות השקט היה לה ולכך ויד עני ואביון לא החזיקה,ותגבהנה ותעשנה תועבה לפני כאשר ראית וכתיב ואומר הנה זה היה עון סדום אחותך גאון שבעת לחם ושלות השקט היה לה ולכך ויד עני ואביון לא החזיקה,17,27,220,220.0,223,223.0,0.35555555555555557,0.36363636363636365,2030000165
ref-t.3.5.3.13.26-ref-t.3.5.3.14.4,ref-mek.3.2.1.474-ref-mek.3.2.1.484,629249,629296,ref-t.3.5.3.13.26,ref-t.3.5.3.14.4,142298,142363,ref-mek.3.2.1.474,ref-mek.3.2.1.484,מרכבות פרעה וחילו ירה בים סיסרא לא נתגאה לפני ,מרכבות פרעה וחילו ירה בים וגו' וכן בסיסרא שבמה שנתגאה לפניו ,9,11,222,222.0,227,225.0,0.26666666666666666,0.4545454545454546,2030000166
ref-t.3.5.3.13.20-ref-t.3.5.3.13.28,ref-mek.3.4.2.1-ref-mek.3.4.2.12,629223,629267,ref-t.3.5.3.13.20,ref-t.3.5.3.13.28,152561,152620,ref-mek.3.4.2.1,ref-mek.3.4.2.12,לא נפרע מהם אלא במים שנ' מרכבות פרעה וחילו ,מרכבות פרעה וחילו במדה שאדם מודד בה מודדין לו הם אמרו מי ,9,12,239,239.0,225,225.0,0.7017543859649122,0.6,2030000167
ref-t.3.5.3.13.26-ref-t.3.5.3.13.30,ref-mek.3.6.1.304-ref-mek.3.6.1.308,629249,629276,ref-t.3.5.3.13.26,ref-t.3.5.3.13.30,157856,157883,ref-mek.3.6.1.304,ref-mek.3.6.1.308,מרכבות פרעה וחילו ירה בים ,מרכבות פרעה וחילו ירה בים ,5,5,246,246.0,226,225.0,0.0,0.0,2030000168
ref-t.3.5.3.15.5-ref-t.3.5.3.15.17,ref-mek.3.2.1.515-ref-mek.3.2.1.528,629520,629582,ref-t.3.5.3.15.5,ref-t.3.5.3.15.17,142525,142594,ref-mek.3.2.1.515,ref-mek.3.2.1.528,ויאמר שמשון אל אביו אותה קח לי וגו' אף הוא בעיניו לקח שנאמ' ,שנאמר ויאמר שמשון אל אביו וגו' אותה קח לי כי היא ישרה בעיני ואומר ,13,14,224,224.0,228,228.0,0.45454545454545453,0.33333333333333337,2030000169
